date,open,high,low,adjClose,value,volume,count,close
2020-05-27,65119.0,65119.0,65119.0,65119.0,11939791877932,183353428,3350038,65119.0
2020-05-30,68374.0,68374.0,68374.0,65254.0,4342022496,63504,1334,68374.0
2020-05-31,68516.0,68516.0,68516.0,65516.0,8448982024,123314,2519,68516.0
2020-06-01,68791.0,68791.0,68791.0,68791.0,114630570760,1666360,3406,68791.0
2020-06-02,72230.0,72230.0,72230.0,72230.0,116104813360,1607432,2209,72230.0
2020-06-06,75841.0,75841.0,75841.0,75841.0,123610667306,1629866,2774,75841.0
2020-06-07,79633.0,79633.0,79633.0,79633.0,133918975366,1681702,7892,79633.0
2020-06-08,83614.0,83614.0,83614.0,83614.0,118137468074,1412891,2775,83614.0
2020-06-09,87794.0,87794.0,87794.0,84227.0,17830873606,203099,4329,87794.0
2020-06-10,88438.0,88438.0,88438.0,84777.0,15986760384,180768,3541,88438.0
2020-06-13,89015.0,89015.0,89015.0,85814.0,25700143755,288717,5507,89015.0
2020-06-14,90104.0,90104.0,90104.0,86914.0,27256279792,302498,5956,90104.0
2020-06-15,91259.0,91259.0,91259.0,88014.0,27250028659,298601,5890,91259.0
2020-06-16,92414.0,92414.0,92414.0,89223.0,29941951172,323998,6122,92414.0
2020-06-20,93684.0,93684.0,93684.0,90975.0,41237823120,440180,7998,93684.0
2020-06-21,95523.0,95523.0,95523.0,92506.0,36045986142,377354,7144,95523.0
2020-06-22,97131.0,97131.0,97131.0,93967.0,34378060485,353935,7061,97131.0
2020-06-23,98665.0,98665.0,98665.0,96134.0,51016612885,517069,8318,98665.0
2020-06-24,100940.0,100940.0,100940.0,96807.0,15845056500,156975,3115,100940.0
2020-06-27,101647.0,101647.0,101647.0,98364.0,33788377623,332409,6465,101647.0
2020-07-05,94105.0,94105.0,94105.0,91277.0,38738135040,411648,8118,94105.0
2020-07-06,95840.0,95840.0,95840.0,93388.0,49483437920,516313,10358,95840.0
2020-07-07,98057.0,98057.0,98057.0,94888.0,35154513127,358511,7645,98057.0
2020-07-08,99632.0,99632.0,99632.0,97974.0,72322569904,725897,6486,99632.0
2020-07-11,102872.0,102872.0,102872.0,99788.0,38890039496,378043,7498,102872.0
2020-07-12,104777.0,104777.0,104777.0,101784.0,42782020755,408315,6634,104777.0
2020-07-13,106873.0,106873.0,106873.0,103568.0,38250060446,357902,7807,106873.0
2020-07-14,108746.0,108746.0,108746.0,106926.0,71984958430,661955,8710,108746.0
2020-07-15,112272.0,112272.0,112272.0,107984.0,22673891760,201955,3593,112272.0
2020-07-18,113383.0,113383.0,113383.0,111255.0,63623169705,561135,11008,113383.0
2020-07-19,116817.0,116817.0,116817.0,113580.0,45228855609,387177,7702,116817.0
2020-07-20,119259.0,119259.0,119259.0,115758.0,42362108649,355211,6709,119259.0
2020-07-21,121545.0,121545.0,121545.0,118192.0,47346760845,389541,8478,121545.0
2020-07-22,124101.0,124101.0,124101.0,119959.0,34363566900,276900,5350,124101.0
2020-07-25,125956.0,125956.0,125956.0,122457.0,43731545332,347197,6969,125956.0
2020-07-26,128579.0,128579.0,128579.0,125456.0,52503948860,408340,8185,128579.0
2020-07-27,131728.0,131728.0,131728.0,130618.0,90385430656,686152,11482,131728.0
2020-07-28,137148.0,137148.0,137148.0,134676.0,71054458728,518086,13608,137148.0
2020-07-29,141409.0,141409.0,141409.0,137575.0,50762295775,358975,7364,141409.0
2020-08-01,144453.0,144453.0,144453.0,141484.0,59668045086,413062,8660,144453.0
2020-08-02,148558.0,148558.0,148558.0,144853.0,51428996904,346188,7293,148558.0
2020-08-03,152095.0,152095.0,152095.0,148495.0,55599544010,365558,8463,152095.0
2020-08-04,155919.0,155919.0,155919.0,153006.0,68857416537,441623,13370,155919.0
2020-08-05,160656.0,160656.0,160656.0,157029.0,61405133040,382215,6971,160656.0
2020-08-09,164880.0,164880.0,164880.0,163299.0,83855659680,508586,10527,164880.0
2020-08-10,171463.0,171463.0,171463.0,170382.0,94736565297,552519,12728,171463.0
2020-08-12,178901.0,178901.0,178901.0,178901.0,229744127497,1284197,13652,178901.0
2020-08-15,187846.0,187846.0,187846.0,187846.0,167104044680,889580,17174,187846.0
2020-08-16,197238.0,197238.0,190000.0,197140.0,5379004345167,27285156,30515,197237.0
2020-08-17,206000.0,206000.0,187283.0,193861.0,2262277211553,11669612,45827,187283.0
2020-08-18,184168.0,184168.0,184168.0,184168.0,169546718312,920609,4515,184168.0
2020-08-19,174960.0,174960.0,174960.0,174960.0,99347536800,567830,2816,174960.0
2020-08-22,166212.0,166212.0,166212.0,166212.0,132744382740,798645,1917,166212.0
2020-08-23,157902.0,157902.0,157902.0,160204.0,65253948912,413256,1236,157902.0
2020-08-24,152194.0,152194.0,152194.0,155087.0,55567703534,365111,1648,152194.0
2020-08-25,162841.0,162841.0,147333.0,162050.0,4275214237521,26382024,122523,159250.0
2020-08-26,157000.0,170152.0,156000.0,168225.0,3684743543928,21903672,122109,170152.0
2020-08-31,159814.0,159814.0,159814.0,159814.0,562946413140,3522510,10729,159814.0
2020-09-01,151824.0,151824.0,151824.0,151824.0,93124438704,613371,1899,151824.0
2020-09-02,144233.0,144233.0,144233.0,144233.0,113519159582,787054,1623,144233.0
2020-09-05,142700.0,149888.0,137022.0,141522.0,3640750595411,25725762,212105,148960.0
2020-09-06,148598.0,148598.0,138000.0,144700.0,1738905876434,12017295,92776,139950.0
2020-09-07,139000.0,139950.0,137465.0,137640.0,1643331562697,11939341,79158,137468.0
2020-09-08,132201.0,136561.0,130758.0,131063.0,1636094123284,12483250,87771,130758.0
2020-09-09,133300.0,137616.0,133300.0,137107.0,761503941510,5554080,58376,137616.0
2020-09-12,143962.0,143962.0,143962.0,143962.0,160499346826,1114873,16854,143962.0
2020-09-13,151160.0,151160.0,151160.0,151160.0,295843549800,1957155,23501,151160.0
2020-09-14,158718.0,158718.0,158718.0,158718.0,207428712918,1306901,17382,158718.0
2020-09-15,166653.0,166653.0,166653.0,166653.0,160220860812,961404,17742,166653.0
2020-09-16,174985.0,174985.0,174985.0,174985.0,1123332831075,6419595,46025,174985.0
2020-09-19,174980.0,183734.0,166850.0,180541.0,5413828724458,29986676,177347,183734.0
2020-09-20,180000.0,182990.0,171514.0,173652.0,2111076922537,12156929,121797,171514.0
2020-09-21,167900.0,182334.0,167900.0,176147.0,2333575041030,13247911,66497,182334.0
2020-09-22,184954.0,184954.0,176147.0,184715.0,3328771777395,18021125,38855,184954.0
2020-09-23,191964.0,193950.0,185010.0,192140.0,2919059869251,15192357,57723,193950.0
2020-09-26,194000.0,200000.0,182551.0,190088.0,2025468728757,10655406,54411,185010.0
2020-09-27,180700.0,180900.0,180584.0,180596.0,1004068420068,5559750,13442,180584.0
